iso3;country;lex2019;gdp2016;cm2017;pop2018;cases;deaths
ABW;Aruba;76.29;NA;NA;105845;77;0
AFG;Afghanistan;64.83;1929;6.79;37172386;423;14
AGO;Angola;61.15;8397;8.11;30809762;19;2
AIA;Anguilla;81.88;NA;NA;NA;3;0
ALB;Albania;78.57;11285;0.88;2866376;400;22
AND;Andorra;83.73;NA;0.33;77006;564;23
ARE;United_Arab_Emirates;77.97;70284;0.91;9630959;2659;12
ARG;Argentina;76.67;18695;1.04;44494502;1795;65
ARM;Armenia;75.09;9588;1.26;2951776;881;9
ATG;Antigua_and_Barbuda;77.02;NA;0.74;96286;15;0
AUS;Australia;83.44;44783;0.35;24982688;6052;50
AUT;Austria;81.54;45010;0.36;8840521;12969;273
AZE;Azerbaijan;73.00;15296;2.30;9939800;822;8
BDI;Burundi;61.58;692;6.12;11175378;3;0
BEL;Belgium;81.63;39733;0.38;11433256;23403;2240
BEN;Benin;61.77;2166;9.83;11485048;26;1
BES;Bonaire, Saint Eustatius and Saba;77.79;NA;NA;NA;2;0
BFA;Burkina_Faso;61.58;1561;8.12;19751535;414;23
BGD;Bangladesh;72.59;3250;3.24;161356039;218;20
BGR;Bulgaria;75.05;17953;0.75;7025037;593;24
BHR;Bahrain;77.29;39773;0.73;1569439;823;5
BHS;Bahamas;73.92;NA;0.72;385640;40;7
BIH;Bosnia_and_Herzegovina;77.40;10576;0.57;3323929;816;35
BLR;Belarus;74.79;18766;0.37;9483499;1066;13
BLZ;Belize;74.62;NA;1.42;383071;8;1
BMU;Bermuda;82.59;NA;NA;63973;39;3
BOL;Bolivia;71.51;6118;3.49;11353142;264;18
BRA;Brazil;75.88;13479;1.48;209469333;15927;800
BRB;Barbados;79.19;10160;1.24;286641;63;3
BRN;Brunei_Darussalam;75.86;NA;1.05;428962;135;1
BTN;Bhutan;71.78;NA;3.08;754394;5;0
BWA;Botswana;69.59;15015;3.76;2254126;7;1
CAF;Central_African_Republic;53.28;619;12.15;4666377;10;0
CAN;Canada;82.43;42969;0.51;37057765;19274;435
CHE;Switzerland;83.78;61844;0.42;8513227;22710;705
CHL;Chile;80.18;21446;0.74;18729160;5546;48
CHN;China;76.91;12320;0.93;1392730000;82870;3339
CIV;Cote_dIvoire;57.78;3664;8.88;25069229;384;3
CMR;Cameroon;59.29;2803;8.40;25216237;730;10
COD;Democratic_Republic_of_the_Congo;60.68;836;9.11;84068091;183;20
COG;Congo;64.57;4310;4.75;5244363;60;5
COL;Colombia;77.29;12963;1.47;49648685;2054;55
CPV;Cape_Verde;72.98;6512;1.74;543767;7;1
CRI;Costa_Rica;80.28;13986;0.90;4999441;502;2
CUB;Cuba;78.80;NA;0.54;11338138;457;12
CUW;Cura̤ao;78.88;NA;NA;159800;14;1
CYM;Cayman_Islands;83.92;NA;NA;64174;45;1
CYP;Cyprus;80.98;26540;0.27;1189265;526;14
CZE;Czechia;79.38;31089;0.33;10629928;5312;99
DEU;Germany;81.33;46841;0.37;82905782;108202;2107
DJI;Djibouti;67.11;3394;6.17;958920;135;0
DMA;Dominica;75.00;9773;3.40;71625;15;0
DNK;Denmark;80.90;45141;0.43;5793636;5402;218
DOM;Dominican_Republic;74.08;14088;2.99;10627165;2111;108
DZA;Algeria;76.88;13328;2.40;42228429;1572;205
ECU;Ecuador;77.01;10536;1.45;17084357;4450;242
EGY;Egypt;71.99;11430;2.21;98423595;1560;103
ERI;Eritrea;66.32;NA;4.31;NA;33;0
ESP;Spain;83.56;31556;0.31;46796540;146690;14555
EST;Estonia;78.75;26173;0.27;1321977;1185;24
ETH;Ethiopia;66.60;1659;5.85;109224559;55;2
FIN;Finland;81.91;38335;0.23;5515525;2487;40
FJI;Fiji;67.44;NA;2.53;883483;15;0
FLK;Falkland_Islands_(Malvinas);81.44;NA;NA;NA;5;0
FRA;France;82.66;38758;0.42;66977107;82048;10869
FRO;Faroe_Islands;80.67;NA;NA;48497;184;0
GAB;Gabon;66.47;14334;4.83;2119275;33;1
GBR;United_Kingdom;81.32;39162;0.43;66460344;60733;7097
GEO;Georgia;73.77;10483;1.08;3726549;211;3
GGY;Guernsey;NA;NA;NA;NA;181;5
GHA;Ghana;64.07;3753;4.93;29767108;313;6
GIB;Gibraltar;79.93;NA;NA;33718;120;0
GIN;Guinea;61.60;1668;8.57;12414318;164;0
GMB;Gambia;62.05;1950;6.36;2280102;4;1
GNB;Guinea_Bissau;58.32;1354;8.42;1874309;33;0
GNQ;Equatorial_Guinea;58.73;31486;8.96;1308974;18;0
GRC;Greece;82.24;24689;0.53;10731726;1884;83
GRD;Grenada;72.40;NA;1.67;111454;12;0
GRL;Greenland;71.70;NA;NA;56025;11;0
GTM;Guatemala;74.30;7137;2.76;17247807;87;3
GUM;Guam;80.07;NA;NA;165768;125;4
GUY;Guyana;69.91;NA;3.13;779004;37;6
HND;Honduras;75.27;4435;1.82;9587522;343;23
HRV;Croatia;78.49;21625;0.46;4087843;1343;19
HTI;Haiti;64.00;1636;7.17;11123176;27;1
HUN;Hungary;76.88;24047;0.45;9775564;980;66
IDN;Indonesia;71.72;10511;2.54;267663435;2956;240
IMN;Isle_of_Man;81.40;NA;NA;84077;158;1
IND;India;69.66;5961;3.94;1352617328;5734;166
IRL;Ireland;82.31;55653;0.35;4867309;6224;235
IRN;Iran;76.68;15529;1.49;81800269;64586;3993
IRQ;Iraq;70.60;13976;3.04;38433600;1202;69
ISL;Iceland;82.99;42980;0.21;352721;1616;6
ISR;Israel;82.97;32494;0.36;8882800;9404;71
ITA;Italy;83.51;34989;0.34;60421760;139422;17669
JAM;Jamaica;74.47;7175;1.52;2934855;63;4
JEY;Jersey;NA;NA;NA;NA;170;3
JOR;Jordan;74.53;11748;1.70;9956011;358;6
JPN;Japan;84.63;36452;0.26;126529100;4257;81
KAZ;Kazakhstan;73.60;23399;1.00;18272430;759;7
KEN;Kenya;66.70;3214;4.56;51393010;179;6
KGZ;Kyrgyzstan;71.45;6065;2.00;6322800;280;4
KHM;Cambodia;69.82;3307;2.92;16249798;118;0
KNA;Saint_Kitts_and_Nevis;76.23;NA;1.37;52441;11;0
KOR;South_Korea;83.03;36151;0.33;51606633;10423;204
KWT;Kuwait;75.49;67798;0.81;4137309;855;1
LAO;Laos;67.92;6324;6.34;7061507;15;0
LBN;Lebanon;78.93;12683;0.78;6848925;575;19
LBR;Liberia;64.10;764;7.47;4818977;31;4
LBY;Libya;72.91;8096;1.24;6678567;21;1
LCA;Saint_Lucia;76.20;10737;1.66;181889;14;0
LIE;Liechtenstein;82.49;NA;NA;37910;79;1
LKA;Sri_Lanka;76.98;11118;0.88;21670000;189;7
LTU;Lithuania;75.93;26182;0.43;2801543;912;15
LUX;Luxembourg;82.25;69057;0.26;607950;3034;46
LVA;Latvia;75.29;23362;0.42;1927174;577;2
MAR;Morocco;76.68;7613;2.33;36029138;1275;93
MCO;Monaco;86.75;NA;0.33;38682;81;2
MDA;Moldova;71.90;5851;1.55;2706049;1174;27
MDG;Madagascar;67.04;1307;4.42;26262368;93;0
MDV;Maldives;78.92;NA;0.79;515696;19;0
MEX;Mexico;75.05;15803;1.34;126190788;3181;174
MKD;North_Macedonia;75.80;13887;1.37;2082958;617;30
MLI;Mali;59.31;1604;10.60;19077690;59;7
MLT;Malta;82.53;27612;0.64;484630;299;1
MMR;Myanmar;67.13;6139;4.86;53708395;22;3
MNE;Montenegro;76.88;18244;0.35;622227;249;2
MNG;Mongolia;69.87;11105;1.72;3170208;16;0
MNP;Northern_Mariana_Islands;76.73;NA;NA;56882;11;2
MOZ;Mozambique;60.85;1288;7.24;29495962;17;0
MRT;Mauritania;64.92;3307;7.90;4403319;6;1
MSR;Montserrat;74.16;NA;NA;NA;9;0
MUS;Mauritius;74.99;18852;1.31;1265303;273;7
MWI;Malawi;64.26;950;5.54;18143315;8;1
MYS;Malaysia;76.16;22687;0.79;31528585;4119;65
NAM;Namibia;63.71;11741;4.42;2448255;16;0
NCL;New_Caledonia;77.55;NA;NA;284060;18;0
NER;Niger;62.42;906;8.45;22442948;342;11
NGA;Nigeria;54.69;5323;10.02;195874740;276;6
NIC;Nicaragua;74.48;4872;1.72;6465513;6;1
NLD;Netherlands;82.28;49254;0.39;17231624;20549;2248
NOR;Norway;82.40;76397;0.26;5311916;6010;80
NPL;Nepal;70.78;2586;3.37;28087871;9;0
NZL;New_Zealand;82.29;34040;0.53;4841000;992;1
OMN;Oman;77.86;36883;1.13;4829483;419;2
PAK;Pakistan;67.27;5250;7.49;212215030;4322;63
PAN;Panama;78.51;21538;1.61;4176873;2528;63
PER;Peru;76.74;11540;1.50;31989256;4342;121
PHL;Philippines;71.23;7223;2.81;106651922;3870;182
PNG;Papua_New_Guinea;64.50;NA;5.34;8606316;2;0
POL;Poland;78.73;26002;0.47;37974750;5205;159
PRI;Puerto_Rico;80.10;35082;NA;3195153;620;24
PRT;Portugal;82.05;27726;0.37;10283822;13141;380
PRY;Paraguay;74.25;8605;2.10;6956071;124;5
PSE;Palestine;74.05;NA;2.09;4569087;263;1
PYF;French_Polynesia;77.66;NA;NA;277679;51;0
QAT;Qatar;80.23;139783;0.76;2781677;2210;6
ROU;Romania;76.05;18913;0.78;19466145;4761;209
RUS;Russia;72.58;23064;0.76;144478050;8672;63
RWA;Rwanda;69.02;1741;3.79;12301939;110;0
SAU;Saudi_Arabia;75.13;47474;0.74;33699947;2932;41
SDN;Sudan;65.31;3750;6.32;41801533;14;2
SEN;Senegal;67.94;2544;4.54;15854360;244;2
SGP;Singapore;83.62;67180;0.28;5638676;1623;6
SLE;Sierra_Leone;54.70;1070;11.05;7650154;7;0
SLV;El_Salvador;73.32;8335;1.45;6420744;103;5
SMR;San_Marino;84.97;NA;0.22;33785;308;34
SOM;Somalia;57.40;NA;12.72;15008154;8;0
SRB;Serbia;76.00;14001;0.57;6982604;2666;65
SSD;South_Sudan;57.85;NA;9.64;10975920;2;0
STP;Sao_Tome_and_Principe;70.39;3640;3.24;211028;4;0
SUR;Suriname;71.68;NA;1.96;575991;10;1
SVK;Slovakia;77.54;26713;0.56;5446771;682;2
SVN;Slovenia;81.32;28761;0.21;2073894;1091;40
SWE;Sweden;82.80;44371;0.28;10175214;8419;687
SWZ;Eswatini;60.19;7641;5.39;1136191;12;0
SXM;Sint_Maarten;78.95;NA;NA;40654;40;8
SYC;Seychelles;73.40;24856;1.42;96762;11;0
SYR;Syria;72.70;3557;NA;16906283;19;2
TCA;Turks_and_Caicos_islands;80.22;NA;NA;37665;8;1
TCD;Chad;54.24;2192;12.32;15477751;10;0
TGO;Togo;61.04;1515;7.29;7889094;70;3
THA;Thailand;77.15;14341;0.95;69428524;2423;32
TLS;Timor_Leste;69.50;NA;4.76;1267972;1;0
TTO;Trinidad_and_Tobago;73.51;29358;2.61;1389858;107;8
TUN;Tunisia;76.70;10621;1.30;11565204;623;23
TUR;Turkey;77.69;18784;1.16;82319724;38226;812
TWN;Taiwan;80.46;42304;NA;NA;379;5
TZA;United_Republic_of_Tanzania;65.46;2518;5.40;56318348;25;1
UGA;Uganda;63.37;1909;4.90;42723139;53;0
UKR;Ukraine;72.06;9694;0.88;44622516;1668;52
URY;Uruguay;77.91;19896;0.82;3449299;456;7
USA;United_States_of_America;78.86;53015;0.66;326687501;432132;14817
UZB;Uzbekistan;71.72;9726;2.25;32955400;555;3
VAT;Holy_See;75.12;NA;NA;NA;8;0
VCT;Saint_Vincent_and_the_Grenadines;72.53;NA;1.62;110210;8;0
VEN;Venezuela;72.06;13159;3.09;28870195;167;8
VGB;British_Virgin_Islands;79.07;NA;NA;29802;3;0
VIR;United_States_Virgin_Islands;80.58;NA;NA;106977;45;1
VNM;Vietnam;75.40;6031;2.09;95540395;251;0
ZAF;South_Africa;64.13;11949;3.71;57779622;1845;18
ZMB;Zambia;63.89;3538;6.00;17351822;39;1
ZWE;Zimbabwe;61.49;1729;5.03;14439018;11;2
